difference,difference_memory,element1,element2,period,position1,position2
4,0,agent-0,agent-4,12,1,5
2,0,agent-0,agent-4,13,1,3
4,0,agent-0,agent-4,14,1,5
3,0,agent-0,agent-4,15,1,4
4,0,agent-0,agent-4,16,1,5
4,0,agent-0,agent-4,17,1,5
4,0,agent-0,agent-4,18,1,5
4,0,agent-0,agent-4,19,1,5
4,0,agent-0,agent-4,20,1,5
3,0,agent-0,agent-4,21,1,4
3,0,agent-0,agent-4,22,1,4
3,0,agent-0,agent-4,23,1,4
4,0,agent-0,agent-4,24,1,5
4,0,agent-0,agent-4,25,1,5
3,0,agent-0,agent-4,26,1,4
2,0,agent-0,agent-4,27,1,3
3,0,agent-0,agent-4,28,1,4
3,0,agent-0,agent-4,29,1,4
3,0,agent-0,agent-4,30,1,4
3,0,agent-0,agent-4,31,1,4
2,0,agent-0,agent-4,32,1,3
3,0,agent-0,agent-4,33,1,4
3,0,agent-0,agent-4,34,1,4
3,0,agent-0,agent-4,35,1,4
3,0,agent-0,agent-4,36,1,4
3,0,agent-0,agent-4,37,1,4
3,0,agent-0,agent-4,38,1,4
3,0,agent-0,agent-4,39,1,4
4,0,agent-0,agent-4,40,1,5
4,0,agent-0,agent-4,41,1,5
4,0,agent-0,agent-4,42,1,5
3,0,agent-0,agent-4,43,1,4
3,0,agent-0,agent-4,44,1,4
3,0,agent-0,agent-4,45,1,4
3,0,agent-0,agent-4,46,1,4
3,0,agent-0,agent-4,47,1,4
3,0,agent-0,agent-4,48,1,4
4,0,agent-0,agent-4,49,1,5
1,0,agent-1,agent-0,1,1,2
-3,0,agent-1,agent-0,2,4,1
-2,0,agent-1,agent-0,3,3,1
-4,0,agent-1,agent-0,4,5,1
-3,0,agent-1,agent-0,5,4,1
-4,0,agent-1,agent-0,6,5,1
-3,0,agent-1,agent-0,7,4,1
-3,0,agent-1,agent-0,8,4,1
-2,0,agent-1,agent-0,9,3,1
-2,0,agent-1,agent-0,10,3,1
-3,0,agent-1,agent-0,11,4,1
-3,0,agent-1,agent-0,12,4,1
-3,0,agent-1,agent-0,13,4,1
-3,0,agent-1,agent-0,14,4,1
-4,0,agent-1,agent-0,15,5,1
-3,0,agent-1,agent-0,16,4,1
-3,0,agent-1,agent-0,17,4,1
-3,0,agent-1,agent-0,18,4,1
-3,0,agent-1,agent-0,19,4,1
-3,0,agent-1,agent-0,20,4,1
-4,0,agent-1,agent-0,21,5,1
-4,0,agent-1,agent-0,22,5,1
-4,0,agent-1,agent-0,23,5,1
-3,0,agent-1,agent-0,24,4,1
-3,0,agent-1,agent-0,25,4,1
