difference,difference_memory,element1,element2,period,position1,position2
2,0,agent-3,agent-1,42,2,4
3,0,agent-3,agent-1,43,2,5
3,0,agent-3,agent-1,44,2,5
3,0,agent-3,agent-1,45,2,5
2,0,agent-3,agent-1,46,3,5
2,0,agent-3,agent-1,47,3,5
3,0,agent-3,agent-1,48,2,5
2,0,agent-3,agent-1,49,2,4
1,0,agent-3,agent-2,1,4,5
-1,0,agent-3,agent-2,2,3,2
-1,0,agent-3,agent-2,3,5,4
1,0,agent-3,agent-2,4,3,4
-1,0,agent-3,agent-2,5,3,2
1,0,agent-3,agent-2,6,2,3
3,0,agent-3,agent-2,7,2,5
3,0,agent-3,agent-2,8,2,5
-3,0,agent-3,agent-2,9,5,2
2,0,agent-3,agent-2,10,2,4
1,0,agent-3,agent-2,11,2,3
1,0,agent-3,agent-2,12,2,3
3,0,agent-3,agent-2,13,2,5
1,0,agent-3,agent-2,14,2,3
1,0,agent-3,agent-2,15,2,3
1,0,agent-3,agent-2,16,2,3
1,0,agent-3,agent-2,17,2,3
1,0,agent-3,agent-2,18,2,3
1,0,agent-3,agent-2,19,2,3
1,0,agent-3,agent-2,20,2,3
1,0,agent-3,agent-2,21,2,3
1,0,agent-3,agent-2,22,2,3
1,0,agent-3,agent-2,23,2,3
1,0,agent-3,agent-2,24,2,3
-1,0,agent-3,agent-2,25,3,2
1,0,agent-3,agent-2,26,2,3
2,0,agent-3,agent-2,27,2,4
1,0,agent-3,agent-2,28,2,3
1,0,agent-3,agent-2,29,2,3
1,0,agent-3,agent-2,30,2,3
-1,0,agent-3,agent-2,31,3,2
2,0,agent-3,agent-2,32,2,4
1,0,agent-3,agent-2,33,2,3
1,0,agent-3,agent-2,34,2,3
1,0,agent-3,agent-2,35,2,3
1,0,agent-3,agent-2,36,2,3
-1,0,agent-3,agent-2,37,3,2
1,0,agent-3,agent-2,38,2,3
1,0,agent-3,agent-2,39,2,3
1,0,agent-3,agent-2,40,2,3
1,0,agent-3,agent-2,41,2,3
1,0,agent-3,agent-2,42,2,3
1,0,agent-3,agent-2,43,2,3
1,0,agent-3,agent-2,44,2,3
1,0,agent-3,agent-2,45,2,3
-1,0,agent-3,agent-2,46,3,2
-1,0,agent-3,agent-2,47,3,2
1,0,agent-3,agent-2,48,2,3
1,0,agent-3,agent-2,49,2,3
-1,0,agent-3,agent-4,1,4,3
2,0,agent-3,agent-4,2,3,5
-3,0,agent-3,agent-4,3,5,2
-1,0,agent-3,agent-4,4,3,2
2,0,agent-3,agent-4,5,3,5
2,0,agent-3,agent-4,6,2,4
1,0,agent-3,agent-4,7,2,3
1,0,agent-3,agent-4,8,2,3
-1,0,agent-3,agent-4,9,5,4
3,0,agent-3,agent-4,10,2,5
3,0,agent-3,agent-4,11,2,5
3,0,agent-3,agent-4,12,2,5
1,0,agent-3,agent-4,13,2,3
3,0,agent-3,agent-4,14,2,5
2,0,agent-3,agent-4,15,2,4
3,0,agent-3,agent-4,16,2,5
3,0,agent-3,agent-4,17,2,5
3,0,agent-3,agent-4,18,2,5
3,0,agent-3,agent-4,19,2,5
3,0,agent-3,agent-4,20,2,5
2,0,agent-3,agent-4,21,2,4
2,0,agent-3,agent-4,22,2,4
2,0,agent-3,agent-4,23,2,4
3,0,agent-3,agent-4,24,2,5
2,0,agent-3,agent-4,25,3,5
2,0,agent-3,agent-4,26,2,4
1,0,agent-3,agent-4,27,2,3
2,0,agent-3,agent-4,28,2,4
2,0,agent-3,agent-4,29,2,4
2,0,agent-3,agent-4,30,2,4
1,0,agent-3,agent-4,31,3,4
1,0,agent-3,agent-4,32,2,3
2,0,agent-3,agent-4,33,2,4
2,0,agent-3,agent-4,34,2,4
2,0,agent-3,agent-4,35,2,4
2,0,agent-3,agent-4,36,2,4
1,0,agent-3,agent-4,37,3,4
2,0,agent-3,agent-4,38,2,4
2,0,agent-3,agent-4,39,2,4
3,0,agent-3,agent-4,40,2,5
3,0,agent-3,agent-4,41,2,5
3,0,agent-3,agent-4,42,2,5
2,0,agent-3,agent-4,43,2,4
2,0,agent-3,agent-4,44,2,4
2,0,agent-3,agent-4,45,2,4
1,0,agent-3,agent-4,46,3,4
1,0,agent-3,agent-4,47,3,4
2,0,agent-3,agent-4,48,2,4
3,0,agent-3,agent-4,49,2,5
-1,0,agent-4,agent-0,1,3,2
-4,0,agent-4,agent-0,2,5,1
-1,0,agent-4,agent-0,3,2,1
-1,0,agent-4,agent-0,4,2,1
-4,0,agent-4,agent-0,5,5,1
-3,0,agent-4,agent-0,6,4,1
-2,0,agent-4,agent-0,7,3,1
-2,0,agent-4,agent-0,8,3,1
-3,0,agent-4,agent-0,9,4,1
-4,0,agent-4,agent-0,10,5,1
-4,0,agent-4,agent-0,11,5,1
-4,0,agent-4,agent-0,12,5,1
-2,0,agent-4,agent-0,13,3,1
-4,0,agent-4,agent-0,14,5,1
-3,0,agent-4,agent-0,15,4,1
-4,0,agent-4,agent-0,16,5,1
-4,0,agent-4,agent-0,17,5,1
-4,0,agent-4,agent-0,18,5,1
-4,0,agent-4,agent-0,19,5,1
-4,0,agent-4,agent-0,20,5,1
-3,0,agent-4,agent-0,21,4,1
-3,0,agent-4,agent-0,22,4,1
-3,0,agent-4,agent-0,23,4,1
-4,0,agent-4,agent-0,24,5,1
-4,0,agent-4,agent-0,25,5,1
-3,0,agent-4,agent-0,26,4,1
-2,0,agent-4,agent-0,27,3,1
-3,0,agent-4,agent-0,28,4,1
-3,0,agent-4,agent-0,29,4,1
-3,0,agent-4,agent-0,30,4,1
-3,0,agent-4,agent-0,31,4,1
-2,0,agent-4,agent-0,32,3,1
-3,0,agent-4,agent-0,33,4,1
-3,0,agent-4,agent-0,34,4,1
-3,0,agent-4,agent-0,35,4,1
-3,0,agent-4,agent-0,36,4,1
-3,0,agent-4,agent-0,37,4,1
-3,0,agent-4,agent-0,38,4,1
-3,0,agent-4,agent-0,39,4,1
-4,0,agent-4,agent-0,40,5,1
-4,0,agent-4,agent-0,41,5,1
-4,0,agent-4,agent-0,42,5,1
-3,0,agent-4,agent-0,43,4,1
-3,0,agent-4,agent-0,44,4,1
-3,0,agent-4,agent-0,45,4,1
-3,0,agent-4,agent-0,46,4,1
-3,0,agent-4,agent-0,47,4,1
-3,0,agent-4,agent-0,48,4,1
-4,0,agent-4,agent-0,49,5,1
-2,0,agent-4,agent-1,1,3,1
-1,0,agent-4,agent-1,2,5,4
1,0,agent-4,agent-1,3,2,3
3,0,agent-4,agent-1,4,2,5
-1,0,agent-4,agent-1,5,5,4
1,0,agent-4,agent-1,6,4,5
1,0,agent-4,agent-1,7,3,4
1,0,agent-4,agent-1,8,3,4
-1,0,agent-4,agent-1,9,4,3
-2,0,agent-4,agent-1,10,5,3
-1,0,agent-4,agent-1,11,5,4
-1,0,agent-4,agent-1,12,5,4
1,0,agent-4,agent-1,13,3,4
-1,0,agent-4,agent-1,14,5,4
1,0,agent-4,agent-1,15,4,5
-1,0,agent-4,agent-1,16,5,4
-1,0,agent-4,agent-1,17,5,4
-1,0,agent-4,agent-1,18,5,4
-1,0,agent-4,agent-1,19,5,4
-1,0,agent-4,agent-1,20,5,4
1,0,agent-4,agent-1,21,4,5
1,0,agent-4,agent-1,22,4,5
1,0,agent-4,agent-1,23,4,5
-1,0,agent-4,agent-1,24,5,4
-1,0,agent-4,agent-1,25,5,4
1,0,agent-4,agent-1,26,4,5
2,0,agent-4,agent-1,27,3,5
1,0,agent-4,agent-1,28,4,5
1,0,agent-4,agent-1,29,4,5
1,0,agent-4,agent-1,30,4,5
1,0,agent-4,agent-1,31,4,5
2,0,agent-4,agent-1,32,3,5
1,0,agent-4,agent-1,33,4,5
1,0,agent-4,agent-1,34,4,5
1,0,agent-4,agent-1,35,4,5
1,0,agent-4,agent-1,36,4,5
1,0,agent-4,agent-1,37,4,5
1,0,agent-4,agent-1,38,4,5
1,0,agent-4,agent-1,39,4,5
-1,0,agent-4,agent-1,40,5,4
-1,0,agent-4,agent-1,41,5,4
-1,0,agent-4,agent-1,42,5,4
1,0,agent-4,agent-1,43,4,5
1,0,agent-4,agent-1,44,4,5
1,0,agent-4,agent-1,45,4,5
1,0,agent-4,agent-1,46,4,5
1,0,agent-4,agent-1,47,4,5
1,0,agent-4,agent-1,48,4,5
-1,0,agent-4,agent-1,49,5,4
2,0,agent-4,agent-2,1,3,5
-3,0,agent-4,agent-2,2,5,2
2,0,agent-4,agent-2,3,2,4
2,0,agent-4,agent-2,4,2,4
-3,0,agent-4,agent-2,5,5,2
-1,0,agent-4,agent-2,6,4,3
2,0,agent-4,agent-2,7,3,5
2,0,agent-4,agent-2,8,3,5
-2,0,agent-4,agent-2,9,4,2
-1,0,agent-4,agent-2,10,5,4
-2,0,agent-4,agent-2,11,5,3
-2,0,agent-4,agent-2,12,5,3
2,0,agent-4,agent-2,13,3,5
-2,0,agent-4,agent-2,14,5,3
-1,0,agent-4,agent-2,15,4,3
-2,0,agent-4,agent-2,16,5,3
-2,0,agent-4,agent-2,17,5,3
-2,0,agent-4,agent-2,18,5,3
-2,0,agent-4,agent-2,19,5,3
-2,0,agent-4,agent-2,20,5,3
-1,0,agent-4,agent-2,21,4,3
-1,0,agent-4,agent-2,22,4,3
-1,0,agent-4,agent-2,23,4,3
-2,0,agent-4,agent-2,24,5,3
-3,0,agent-4,agent-2,25,5,2
-1,0,agent-4,agent-2,26,4,3
1,0,agent-4,agent-2,27,3,4
-1,0,agent-4,agent-2,28,4,3
-1,0,agent-4,agent-2,29,4,3
-1,0,agent-4,agent-2,30,4,3
-2,0,agent-4,agent-2,31,4,2
1,0,agent-4,agent-2,32,3,4
-1,0,agent-4,agent-2,33,4,3
-1,0,agent-4,agent-2,34,4,3
-1,0,agent-4,agent-2,35,4,3
-1,0,agent-4,agent-2,36,4,3
-2,0,agent-4,agent-2,37,4,2
-1,0,agent-4,agent-2,38,4,3
-1,0,agent-4,agent-2,39,4,3
-2,0,agent-4,agent-2,40,5,3
-2,0,agent-4,agent-2,41,5,3
-2,0,agent-4,agent-2,42,5,3
-1,0,agent-4,agent-2,43,4,3
-1,0,agent-4,agent-2,44,4,3
-1,0,agent-4,agent-2,45,4,3
-2,0,agent-4,agent-2,46,4,2
-2,0,agent-4,agent-2,47,4,2
-1,0,agent-4,agent-2,48,4,3
-2,0,agent-4,agent-2,49,5,3
1,0,agent-4,agent-3,1,3,4
-2,0,agent-4,agent-3,2,5,3
3,0,agent-4,agent-3,3,2,5
1,0,agent-4,agent-3,4,2,3
-2,0,agent-4,agent-3,5,5,3
-2,0,agent-4,agent-3,6,4,2
-1,0,agent-4,agent-3,7,3,2
-1,0,agent-4,agent-3,8,3,2
1,0,agent-4,agent-3,9,4,5
-3,0,agent-4,agent-3,10,5,2
-3,0,agent-4,agent-3,11,5,2
-3,0,agent-4,agent-3,12,5,2
-1,0,agent-4,agent-3,13,3,2
-3,0,agent-4,agent-3,14,5,2
-2,0,agent-4,agent-3,15,4,2
-3,0,agent-4,agent-3,16,5,2
-3,0,agent-4,agent-3,17,5,2
-3,0,agent-4,agent-3,18,5,2
-3,0,agent-4,agent-3,19,5,2
-3,0,agent-4,agent-3,20,5,2
-2,0,agent-4,agent-3,21,4,2
-2,0,agent-4,agent-3,22,4,2
-2,0,agent-4,agent-3,23,4,2
-3,0,agent-4,agent-3,24,5,2
-2,0,agent-4,agent-3,25,5,3
-2,0,agent-4,agent-3,26,4,2
-1,0,agent-4,agent-3,27,3,2
-2,0,agent-4,agent-3,28,4,2
-2,0,agent-4,agent-3,29,4,2
-2,0,agent-4,agent-3,30,4,2
-1,0,agent-4,agent-3,31,4,3
-1,0,agent-4,agent-3,32,3,2
-2,0,agent-4,agent-3,33,4,2
-2,0,agent-4,agent-3,34,4,2
-2,0,agent-4,agent-3,35,4,2
-2,0,agent-4,agent-3,36,4,2
-1,0,agent-4,agent-3,37,4,3
-2,0,agent-4,agent-3,38,4,2
-2,0,agent-4,agent-3,39,4,2
-3,0,agent-4,agent-3,40,5,2
-3,0,agent-4,agent-3,41,5,2
-3,0,agent-4,agent-3,42,5,2
-2,0,agent-4,agent-3,43,4,2
-2,0,agent-4,agent-3,44,4,2
-2,0,agent-4,agent-3,45,4,2
-1,0,agent-4,agent-3,46,4,3
-1,0,agent-4,agent-3,47,4,3
-2,0,agent-4,agent-3,48,4,2
-3,0,agent-4,agent-3,49,5,2
